Day,Weekday,Glider flights,Avg Duration,Cross Countrys,Tows,Winches,Other Flights,Avg Duration,Cross Country
2020-09-10,Thu,0,0,0,0,0,0,0,0
2020-09-11,Fri,0,0,0,0,0,0,0,0
2020-09-12,Sat,0,0,0,0,0,0,0,0
2020-09-13,Sun,0,0,0,0,0,0,0,0
2020-09-14,Mon,0,0,0,0,0,0,0,0
2020-09-15,Tue,18,1810.2222222222222,9,0,18,0,0,0
2020-09-16,Wed,15,699.4285714285714,8,0,15,7,3934.6666666666665,4
2020-09-17,Thu,30,2336.3,20,1,29,15,741.8571428571429,8
2020-09-18,Fri,15,1327.5,7,2,13,10,775.6666666666666,7
2020-09-19,Sat,27,639.35,7,0,27,4,0,4
2020-09-20,Sun,10,1243.6,0,1,9,7,1626.0,4
2020-09-21,Mon,13,554.875,5,0,13,7,8714.0,6
2020-09-22,Tue,20,701.25,4,0,20,3,6474.5,1
2020-09-23,Wed,0,0,0,0,0,0,0,0
2020-09-24,Thu,4,2097.0,3,0,4,3,2135.3333333333335,0
2020-09-25,Fri,0,0,0,0,0,0,0,0
2020-09-26,Sat,2,622.0,0,2,0,2,634.5,0
2020-09-27,Sun,0,0,0,0,0,0,0,0
2020-09-28,Mon,15,771.2222222222222,6,1,14,8,4566.5,2
2020-09-29,Tue,11,441.0,10,1,10,7,570.6666666666666,4
2020-09-30,Wed,0,0,0,0,0,0,0,0
2020-10-01,Thu,22,1650.3333333333333,7,0,22,6,629.0,5
2020-10-02,Fri,0,0,0,0,0,0,0,0
2020-10-03,Sat,0,0,0,0,0,0,0,0
2020-10-04,Sun,0,0,0,0,0,0,0,0
2020-10-05,Mon,1,2212.0,0,0,1,0,0,0
2020-10-06,Tue,6,1118.8333333333333,0,5,1,5,524.8,0
2020-10-07,Wed,43,607.3783783783783,6,9,34,9,712.5,1
2020-10-08,Thu,9,1215.625,1,5,4,9,647.8888888888889,0
2020-10-09,Fri,28,853.35,8,3,25,4,655.0,0
2020-10-10,Sat,25,572.25,1,2,23,6,775.2,1
2020-10-11,Sun,44,1196.2682926829268,3,17,27,24,1976.0833333333333,0
2020-10-12,Mon,0,0,0,0,0,2,0,2
2020-10-13,Tue,0,0,0,0,0,0,0,0
2020-10-14,Wed,24,796.3809523809524,3,3,21,3,681.3333333333334,0
2020-10-15,Thu,3,1996.0,2,0,3,1,3073.0,0
2020-10-16,Fri,0,0,0,0,0,0,0,0
2020-10-17,Sat,5,1927.6,0,0,5,6,1134.5,4
2020-10-18,Sun,26,389.15384615384613,0,0,26,5,908.6666666666666,2
2020-10-19,Mon,1,2836.0,0,0,1,0,0,0
2020-10-20,Tue,0,0,0,0,0,0,0,0
2020-10-21,Wed,0,0,0,0,0,0,0,0
2020-10-22,Thu,4,1801.75,0,0,4,2,10619.5,0
2020-10-23,Fri,0,0,0,0,0,0,0,0
2020-10-24,Sat,0,0,0,0,0,0,0,0
2020-10-25,Sun,0,0,0,0,0,0,0,0
2020-10-26,Mon,17,318.47058823529414,0,0,17,1,0,1
2020-10-27,Tue,0,0,0,0,0,0,0,0
2020-10-28,Wed,4,1198.6666666666667,1,3,1,7,583.5,3
2020-10-29,Thu,0,0,0,0,0,0,0,0
2020-10-30,Fri,0,0,0,0,0,0,0,0
2020-10-31,Sat,0,0,0,0,0,0,0,0
2020-11-01,Sun,0,0,0,0,0,0,0,0
2020-11-02,Mon,0,0,0,0,0,0,0,0
2020-11-03,Tue,0,0,0,0,0,0,0,0
2020-11-04,Wed,0,0,0,0,0,0,0,0
2020-11-05,Thu,0,0,0,0,0,0,0,0
2020-11-06,Fri,0,0,0,0,0,0,0,0
2020-11-07,Sat,0,0,0,0,0,0,0,0
2020-11-08,Sun,0,0,0,0,0,0,0,0
2020-11-09,Mon,0,0,0,0,0,0,0,0
2020-11-10,Tue,0,0,0,0,0,0,0,0
2020-11-11,Wed,0,0,0,0,0,0,0,0
2020-11-12,Thu,0,0,0,0,0,0,0,0
2020-11-13,Fri,0,0,0,0,0,0,0,0
2020-11-14,Sat,0,0,0,0,0,0,0,0
2020-11-15,Sun,0,0,0,0,0,0,0,0
2020-11-16,Mon,0,0,0,0,0,0,0,0
2020-11-17,Tue,0,0,0,0,0,0,0,0
2020-11-18,Wed,0,0,0,0,0,0,0,0
2020-11-19,Thu,0,0,0,0,0,0,0,0
2020-11-20,Fri,0,0,0,0,0,0,0,0
2020-11-21,Sat,0,0,0,0,0,0,0,0
2020-11-22,Sun,0,0,0,0,0,0,0,0
2020-11-23,Mon,0,0,0,0,0,0,0,0
2020-11-24,Tue,0,0,0,0,0,0,0,0
2020-11-25,Wed,0,0,0,0,0,0,0,0
2020-11-26,Thu,0,0,0,0,0,0,0,0
2020-11-27,Fri,0,0,0,0,0,0,0,0
2020-11-28,Sat,0,0,0,0,0,0,0,0
2020-11-29,Sun,0,0,0,0,0,0,0,0
2020-11-30,Mon,0,0,0,0,0,0,0,0
2020-12-01,Tue,0,0,0,0,0,0,0,0
2020-12-02,Wed,0,0,0,0,0,1,0,1
2020-12-03,Thu,0,0,0,0,0,0,0,0
2020-12-04,Fri,0,0,0,0,0,0,0,0
2020-12-05,Sat,0,0,0,0,0,0,0,0
2020-12-06,Sun,0,0,0,0,0,0,0,0
2020-12-07,Mon,0,0,0,0,0,0,0,0
2020-12-08,Tue,0,0,0,0,0,0,0,0
2020-12-09,Wed,0,0,0,0,0,0,0,0
2020-12-10,Thu,0,0,0,0,0,0,0,0
2020-12-11,Fri,0,0,0,0,0,0,0,0
2020-12-12,Sat,0,0,0,0,0,0,0,0
2020-12-13,Sun,0,0,0,0,0,0,0,0
2020-12-14,Mon,0,0,0,0,0,0,0,0
2020-12-15,Tue,0,0,0,0,0,0,0,0
2020-12-16,Wed,0,0,0,0,0,0,0,0
2020-12-17,Thu,0,0,0,0,0,0,0,0
2020-12-18,Fri,0,0,0,0,0,0,0,0
2020-12-19,Sat,0,0,0,0,0,0,0,0
2020-12-20,Sun,0,0,0,0,0,0,0,0
2020-12-21,Mon,0,0,0,0,0,0,0,0
2020-12-22,Tue,0,0,0,0,0,0,0,0
2020-12-23,Wed,0,0,0,0,0,0,0,0
2020-12-24,Thu,0,0,0,0,0,0,0,0
2020-12-25,Fri,0,0,0,0,0,0,0,0
2020-12-26,Sat,0,0,0,0,0,0,0,0
2020-12-27,Sun,0,0,0,0,0,0,0,0
2020-12-28,Mon,0,0,0,0,0,0,0,0
2020-12-29,Tue,0,0,0,0,0,0,0,0
2020-12-30,Wed,0,0,0,0,0,0,0,0
2020-12-31,Thu,0,0,0,0,0,0,0,0
2021-01-01,Fri,0,0,0,0,0,0,0,0
2021-01-02,Sat,0,0,0,0,0,0,0,0
2021-01-03,Sun,0,0,0,0,0,0,0,0
2021-01-04,Mon,0,0,0,0,0,0,0,0
2021-01-05,Tue,0,0,0,0,0,0,0,0
2021-01-06,Wed,0,0,0,0,0,0,0,0
2021-01-07,Thu,0,0,0,0,0,0,0,0
2021-01-08,Fri,0,0,0,0,0,0,0,0
2021-01-09,Sat,0,0,0,0,0,0,0,0
2021-01-10,Sun,0,0,0,0,0,0,0,0
2021-01-11,Mon,0,0,0,0,0,0,0,0
2021-01-12,Tue,0,0,0,0,0,0,0,0
2021-01-13,Wed,0,0,0,0,0,0,0,0
2021-01-14,Thu,0,0,0,0,0,0,0,0
2021-01-15,Fri,0,0,0,0,0,0,0,0
2021-01-16,Sat,0,0,0,0,0,0,0,0
2021-01-17,Sun,0,0,0,0,0,0,0,0
2021-01-18,Mon,0,0,0,0,0,0,0,0
2021-01-19,Tue,0,0,0,0,0,0,0,0
2021-01-20,Wed,0,0,0,0,0,0,0,0
2021-01-21,Thu,0,0,0,0,0,0,0,0
2021-01-22,Fri,0,0,0,0,0,0,0,0
2021-01-23,Sat,0,0,0,0,0,0,0,0
2021-01-24,Sun,0,0,0,0,0,0,0,0
2021-01-25,Mon,0,0,0,0,0,0,0,0
2021-01-26,Tue,0,0,0,0,0,0,0,0
2021-01-27,Wed,0,0,0,0,0,0,0,0
2021-01-28,Thu,0,0,0,0,0,0,0,0
2021-01-29,Fri,0,0,0,0,0,0,0,0
2021-01-30,Sat,0,0,0,0,0,0,0,0
2021-01-31,Sun,0,0,0,0,0,0,0,0
2021-02-01,Mon,0,0,0,0,0,0,0,0
2021-02-02,Tue,0,0,0,0,0,0,0,0
2021-02-03,Wed,0,0,0,0,0,0,0,0
2021-02-04,Thu,0,0,0,0,0,0,0,0
2021-02-05,Fri,0,0,0,0,0,0,0,0
2021-02-06,Sat,0,0,0,0,0,0,0,0
2021-02-07,Sun,0,0,0,0,0,0,0,0
2021-02-08,Mon,0,0,0,0,0,0,0,0
2021-02-09,Tue,0,0,0,0,0,0,0,0
2021-02-10,Wed,0,0,0,0,0,0,0,0
2021-02-11,Thu,0,0,0,0,0,0,0,0
2021-02-12,Fri,0,0,0,0,0,0,0,0
2021-02-13,Sat,0,0,0,0,0,0,0,0
2021-02-14,Sun,0,0,0,0,0,0,0,0
2021-02-15,Mon,0,0,0,0,0,1,2606.0,0
2021-02-16,Tue,0,0,0,0,0,0,0,0
2021-02-17,Wed,0,0,0,0,0,0,0,0
2021-02-18,Thu,0,0,0,0,0,0,0,0
2021-02-19,Fri,0,0,0,0,0,0,0,0
2021-02-20,Sat,0,0,0,0,0,0,0,0
2021-02-21,Sun,0,0,0,0,0,0,0,0
2021-02-22,Mon,0,0,0,0,0,0,0,0
2021-02-23,Tue,0,0,0,0,0,0,0,0
2021-02-24,Wed,0,0,0,0,0,0,0,0
2021-02-25,Thu,0,0,0,0,0,0,0,0
2021-02-26,Fri,0,0,0,0,0,0,0,0
2021-02-27,Sat,0,0,0,0,0,0,0,0
2021-02-28,Sun,0,0,0,0,0,0,0,0
2021-03-01,Mon,0,0,0,0,0,0,0,0
2021-03-02,Tue,0,0,0,0,0,0,0,0
2021-03-03,Wed,0,0,0,0,0,0,0,0
2021-03-04,Thu,0,0,0,0,0,0,0,0
2021-03-05,Fri,0,0,0,0,0,0,0,0
2021-03-06,Sat,0,0,0,0,0,7,538.4285714285714,0
2021-03-07,Sun,0,0,0,0,0,10,554.7,0
2021-03-08,Mon,0,0,0,0,0,0,0,0
2021-03-09,Tue,0,0,0,0,0,0,0,0
2021-03-10,Wed,0,0,0,0,0,0,0,0
2021-03-11,Thu,0,0,0,0,0,0,0,0
2021-03-12,Fri,0,0,0,0,0,0,0,0
2021-03-13,Sat,0,0,0,0,0,0,0,0
2021-03-14,Sun,0,0,0,0,0,0,0,0
2021-03-15,Mon,0,0,0,0,0,0,0,0
2021-03-16,Tue,0,0,0,0,0,0,0,0
2021-03-17,Wed,0,0,0,0,0,0,0,0
2021-03-18,Thu,0,0,0,0,0,0,0,0
2021-03-19,Fri,0,0,0,0,0,0,0,0
2021-03-20,Sat,4,861.5,0,4,0,5,528.8,0
2021-03-21,Sun,0,0,0,0,0,2,0,2
2021-03-22,Mon,0,0,0,0,0,0,0,0
2021-03-23,Tue,0,0,0,0,0,0,0,0
2021-03-24,Wed,5,1861.8,0,4,1,6,439.0,2
2021-03-25,Thu,0,0,0,0,0,0,0,0
2021-03-26,Fri,0,0,0,0,0,0,0,0
2021-03-27,Sat,0,0,0,0,0,0,0,0
2021-03-28,Sun,0,0,0,0,0,0,0,0
2021-03-29,Mon,0,0,0,0,0,0,0,0
2021-03-30,Tue,20,1129.1052631578948,1,7,13,21,876.2666666666667,6
2021-03-31,Wed,23,2033.7826086956522,0,7,16,16,1788.2307692307693,3
2021-04-01,Thu,0,0,0,0,0,0,0,0
2021-04-02,Fri,1,4036.0,0,0,1,8,1339.8333333333333,2
2021-04-03,Sat,6,1432.0,3,4,2,5,471.5,1
2021-04-04,Sun,4,1756.0,3,1,3,7,693.8,2
2021-04-05,Mon,0,0,0,0,0,1,4818.0,0
2021-04-06,Tue,1,4373.0,0,1,0,5,3198.6,0
2021-04-07,Wed,18,5172.117647058823,1,7,11,18,3669.8571428571427,4
2021-04-08,Thu,0,0,0,0,0,2,0,2
2021-04-09,Fri,0,0,0,0,0,0,0,0
2021-04-10,Sat,0,0,0,0,0,0,0,0
2021-04-11,Sun,5,3908.4,0,5,0,10,1724.7142857142858,3
2021-04-12,Mon,44,2396.2954545454545,0,15,29,34,1431.7037037037037,7
2021-04-13,Tue,17,6222.846153846154,4,11,6,25,1882.952380952381,4
2021-04-14,Wed,41,2544.439024390244,0,16,25,31,2581.962962962963,4
2021-04-15,Thu,8,4294.5,0,1,7,7,9270.5,5
2021-04-16,Fri,8,4648.25,0,5,3,14,668.1666666666666,2
2021-04-17,Sat,46,2597.3260869565215,0,10,36,21,2078.0625,5
2021-04-18,Sun,38,1729.7567567567567,1,15,23,21,993.05,1
2021-04-19,Mon,9,6334.5,1,8,1,16,1461.0,4
2021-04-20,Tue,12,11609.7,2,1,11,7,6727.666666666667,4
2021-04-21,Wed,30,813.7,0,0,30,1,9016.0,0
