name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-01,15.3,9,11.3,15.3,7,10.5,7.6,78.2,0,0,0,rain,0,0,33.1,19.8,48.2,1027,97.5,33.9,168.3,14.5,7,10,2023-06-01T04:48:09,2023-06-01T21:16:41,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,E7347,EGBB,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-02,17,9.1,12.2,17,7.1,11.5,5.9,66.4,0,0,0,,0,0,32.4,20.2,50.7,1025.9,55.4,34.3,273.2,23.6,9,10,2023-06-02T04:47:19,2023-06-02T21:17:48,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,D6997,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-03,19.6,6.1,13,19.6,4,12.3,7.5,71.5,0,0,0,,0,0,27.9,17.6,49.5,1025,19.8,31.5,311.1,26.9,9,10,2023-06-03T04:46:32,2023-06-03T21:18:53,0.48,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-04,18.7,7.2,12.4,18.7,5.7,11.8,7.8,75.4,0,0,0,,0,0,26,16.9,48.4,1025.6,24.9,35.6,304.6,26.3,9,10,2023-06-04T04:45:48,2023-06-04T21:19:55,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-05,15.5,8.5,11.9,15.5,7.1,11.4,7.2,73.7,0,0,0,,0,0,30.1,17.9,54.6,1025.8,92.9,36.8,181.8,15.8,8,10,2023-06-05T04:45:08,2023-06-05T21:20:55,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-06,13.7,9.8,11.4,13.7,7.9,11.3,7.7,78.4,0.026,100,4.17,rain,0,0,26,16.1,58,1025,99.5,37.4,96.1,7.9,3,10,2023-06-06T04:44:30,2023-06-06T21:21:52,0.58,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03462099999,D6997,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-07,17.4,9.4,12.6,17.4,7.8,12.2,7.6,72.1,0,0,0,,0,0,29.2,17.8,64.6,1023.2,64.7,38.2,251.7,21.7,9,10,2023-06-07T04:43:55,2023-06-07T21:22:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03354099999,03535099999,D7144,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-08,18.4,8.1,13,18.4,6.6,12.5,7.9,72.3,0,0,0,,0,0,36,21.7,63.7,1020,43.7,34.9,292.9,25.4,9,10,2023-06-08T04:43:23,2023-06-08T21:23:39,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,EGBB,03647099999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-09,20.3,10.1,14.7,20.3,10.1,14.7,10,74.6,0,0,0,,0,0,36,23.5,59.9,1016.1,31.8,24,301.2,26.1,8,10,2023-06-09T04:42:55,2023-06-09T21:24:29,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,D6997,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-10,28.9,10.5,19.2,28.3,10.5,19.1,12.5,69.6,0.027,100,4.17,rain,0,0,36.7,20.4,64.6,1014.2,34.4,20.8,290.8,25.2,8,60,2023-06-10T04:42:30,2023-06-10T21:25:16,0.75,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-11,29.3,13.9,20.8,29.6,13.9,20.8,14.2,68.3,19.644,100,20.83,rain,0,0,21.2,11.7,25.5,1014.4,22.7,20.5,274.3,23.7,8,60,2023-06-11T04:42:07,2023-06-11T21:26:00,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,D7144,03560099999,03544099999"
